Period,Data_value,Magnitude
2020.06,3411.903,6
2020.09,4186.55,6
2020.12,4105.067,6
2021.03,4341.561,6
2021.06,4536.825,6
2021.09,4498.896,6
2021.12,4999.162,6
2022.03,5587.094,6
2022.06,3009.11,6
2022.09,2993.946,6
2022.12,3083.075,6
2023.03,2862.373,6
2023.06,2787.693,6
2023.09,2733.91,6
2023.12,2810.967,6
2016.06,3891.569,6
2016.09,4039.166,6
2016.12,4237.798,6
2017.03,4403.694,6
2017.06,4395.316,6
2017.09,4416.785,6
2017.12,4695.798,6
2018.03,4897.184,6
2018.06,5038.769,6
2018.09,5172.162,6
2018.12,5060.983,6
2019.03,4822.115,6
2019.06,4777.987,6
2019.09,4798.268,6
2019.12,4735.716,6
2020.03,,6
2020.06,,6
2020.09,,6
2020.12,,6
2021.03,,6
2021.06,,6
2021.09,,6
2021.12,,6
2022.03,,6
2022.06,,6
2022.09,,6
2022.12,,6
2023.03,,6
2023.06,,6
2023.09,,6
2023.12,,6
2016.06,896.253,6
2016.09,916.132,6
2016.12,926.353,6
2017.03,834.766,6
2017.06,880.209,6
2017.09,933.792,6
2017.12,953.3,6
2018.03,818.395,6
2018.06,895.345,6
2018.09,956.138,6
2018.12,923.495,6
2019.03,874.952,6
2019.06,944.955,6
2019.09,955.735,6
2019.12,944.601,6
2020.03,860.444,6
2020.06,723.382,6
2020.09,1033.746,6
2020.12,1024.605,6
2021.03,961.839,6
2021.06,1066.475,6
2021.09,902.091,6
2021.12,1175.036,6
2022.03,1082.725,6
2022.06,1178.75,6
2022.09,1257.909,6
2022.12,1175.332,6
2023.03,1062.958,6
2023.06,1152.64,6
2023.09,1187.139,6
2023.12,1100.157,6
2016.06,901.774,6
2016.09,890.024,6
2016.12,890.439,6
2017.03,895.655,6
2017.06,882.654,6
2017.09,902.953,6
2017.12,919.006,6
2018.03,881.569,6
2018.06,895.861,6
2018.09,920.919,6
2018.12,893.143,6
2019.03,944.737,6
2019.06,944.5,6
2019.09,915.447,6
2019.12,919.4,6
2020.03,928.483,6
2020.06,722.279,6
2020.09,986.641,6
2020.12,1001.76,6
2021.03,1038.677,6
2021.06,1062.884,6
2021.09,858.194,6
2021.12,1154.293,6
2022.03,1168.856,6
2022.06,1173.598,6
2022.09,1194.06,6
2022.12,1157.528,6
2023.03,1148.281,6
2023.06,1146.938,6
2023.09,1124.29,6
2023.12,1086.152,6
2016.06,886.177,6
2016.09,896.32,6
2016.12,891.589,6
2017.03,890.183,6
2017.06,889.194,6
2017.09,903.812,6
2017.12,907.664,6
2018.03,892.302,6
2018.06,896.521,6
2018.09,910.549,6
2018.12,920.117,6
2019.03,937.421,6
2019.06,940.649,6
2019.09,922.033,6
2019.12,916.584,6
2020.03,,6
2020.06,,6
2020.09,,6
2020.12,,6
2021.03,,6
2021.06,,6
2021.09,,6
2021.12,,6
2022.03,,6
2022.06,,6
2022.09,,6
2022.12,,6
2023.03,,6
2023.06,,6
2023.09,,6
2023.12,,6
2016.06,2432.778,6
2016.09,2498.432,6
2016.12,2499.28,6
2017.03,2362.348,6
2017.06,2677.296,6
2017.09,2745.004,6
2017.12,2640.204,6
2018.03,2520.431,6
2018.06,2831.651,6
2018.09,2928.06,6
2018.12,2860.894,6
2019.03,2642.363,6
2019.06,2871.895,6
2019.09,3041.137,6
2019.12,2916.519,6
2020.03,2599.168,6
2020.06,2260.46,6
2020.09,3070.947,6
2020.12,2999.024,6
2021.03,2754.132,6
2021.06,3230.641,6
2021.09,2879.037,6
2021.12,3714.878,6
2022.03,3424.98,6
2022.06,3859.858,6
2022.09,3936.53,6
2022.12,3746.889,6
2023.03,3336.398,6
2023.06,3743.199,6
2023.09,3780.713,6
2023.12,3646.7,6
2016.06,2391.92,6
2016.09,2402.42,6
2016.12,2468.765,6
2017.03,2543.325,6
2017.06,2631.23,6
2017.09,2632.608,6
2017.12,2606.212,6
2018.03,2725.109,6
2018.06,2783.055,6
2018.09,2799.053,6
2018.12,2822.592,6
2019.03,2867.124,6
2019.06,2824.198,6
2019.09,2900.833,6
2019.12,2871.668,6
2020.03,2831.572,6
2020.06,2223.254,6
2020.09,2924.867,6
2020.12,2948.609,6
2021.03,3009.994,6
2021.06,3173.746,6
2021.09,2741.679,6
2021.12,3650.579,6
2022.03,3750.178,6
2022.06,3785.031,6
2022.09,3750.695,6
2022.12,3684.145,6
2023.03,3654.562,6
2023.06,3664.239,6
2023.09,3604.64,6
2023.12,3589.424,6
2016.06,2385.699,6
2016.09,2410.824,6
2016.12,2464.891,6
2017.03,2551.035,6
2017.06,2617.806,6
2017.09,2631.321,6
2017.12,2647.601,6
2018.03,2715.677,6
2018.06,2779.04,6
2018.09,2801.699,6
2018.12,2830.75,6
2019.03,2847.132,6
2019.06,2861.988,6
2019.09,2880.492,6
2019.12,2871.368,6
2020.03,,6
2020.06,,6
2020.09,,6
2020.12,,6
2021.03,,6
2021.06,,6
2021.09,,6
2021.12,,6
2022.03,,6
2022.06,,6
2022.09,,6
2022.12,,6
2023.03,,6
2023.06,,6
2023.09,,6
2023.12,,6
2016.06,2816.89,6
2016.09,2921.187,6
2016.12,2860.234,6
2017.03,2585.31,6
2017.06,2946.76,6
2017.09,3150.819,6
2017.12,3004.505,6
2018.03,2827.124,6
2018.06,3236.153,6
2018.09,3337.87,6
2018.12,3294.508,6
2019.03,2939.344,6
2019.06,3121.496,6
2019.09,3426.489,6
2019.12,3480.549,6
2020.03,3038.73,6
2020.06,2769.015,6
2020.09,3319.364,6
2020.12,3484.699,6
2021.03,3355.684,6
2021.06,3585.208,6
2021.09,3461.281,6
2021.12,3952.251,6
2022.03,3440.497,6
2022.06,3892.963,6
2022.09,4250.689,6
2022.12,4125.149,6
2023.03,3859.107,6
2023.06,4284.491,6
2023.09,4385.367,6
2023.12,4162.215,6
2016.06,2793.901,6
2016.09,2778.979,6
2016.12,2788.363,6
2017.03,2824.761,6
2017.06,2926.972,6
2017.09,2995.133,6
2017.12,2927.652,6
2018.03,3084.45,6
2018.06,3223.942,6
2018.09,3171.922,6
2018.12,3204.132,6
2019.03,3205.812,6
2019.06,3116.791,6
2019.09,3254.905,6
2019.12,3381.828,6
2020.03,3311.373,6
2020.06,2770.455,6
2020.09,3149.923,6
2020.12,3386.506,6
2021.03,3658.244,6
2021.06,3584.117,6
2021.09,3280.763,6
2021.12,3853.297,6
2022.03,3746.482,6
2022.06,3885.724,6
2022.09,4025.749,6
2022.12,4034.277,6
2023.03,4202.473,6
2023.06,4264.614,6
2023.09,4151.283,6
2023.12,4083.41,6
2016.06,2792.035,6
2016.09,2781.994,6
2016.12,2785.713,6
2017.03,2834.942,6
2017.06,2924.541,6
2017.09,2971.474,6
2017.12,2991.302,6
2018.03,3089.731,6
2018.06,3188.347,6
2018.09,3200.595,6
2018.12,3200.124,6
2019.03,3178.056,6
2019.06,3157.628,6
2019.09,3251.076,6
2019.12,3346.263,6
2020.03,,6
2020.06,,6
2020.09,,6
2020.12,,6
2021.03,,6
2021.06,,6
2021.09,,6
2021.12,,6
2022.03,,6
2022.06,,6
2022.09,,6
2022.12,,6
2023.03,,6
2023.06,,6
2023.09,,6
2023.12,,6
